date,idoc_id,pollex_id,error_message,process,query,mockups
2023-01-06 00:00:00,45119561,37040,System status CLSD is active (ORD WM9072050029 ),5.0,"Error Message:
IDoc ID: 45119561
Pollex ID: 37040
Description: System status CLSD is active (ORD WM9072050029 )","{""RULE_BASE"": """", ""RPA_FIELD_VALUE"": {}, ""RFC_READ_TABLE"": {}, ""CURRENT_DATE"": ""2023-01-06 00:00:00"", ""IDOC_VALUES"": {}, ""MATERIALS_IN_STORAGE_LOCATION"": {}, ""POLLEX_STORAGE_LOCATIONS"": """", ""STORAGE_LOCATIONS_IN_PLANT"": {""1540"": ""ID, Description\n""}, ""STORAGE_LOCATION_ID"": """", ""STORAGE_LOCATION_INFO"": {}}"
2023-01-10 00:00:00,19467893,98127,G/L account 404302 is not provided for in company code 0090,4.0,"Error Message:
IDoc ID: 19467893
Pollex ID: 98127
Description: G/L account 404302 is not provided for in company code 0090","{""RULE_BASE"": """", ""RPA_FIELD_VALUE"": {}, ""RFC_READ_TABLE"": {""RFC_READ_TABLE"": {""GLACCOUNT_SCREEN_KEY"": {""SAKNR"": {""404302"": ""SAKNR,BURKS\n404302,0043""}}}}, ""CURRENT_DATE"": ""2023-01-10 00:00:00"", ""IDOC_VALUES"": {}, ""MATERIALS_IN_STORAGE_LOCATION"": {}, ""POLLEX_STORAGE_LOCATIONS"": """", ""STORAGE_LOCATIONS_IN_PLANT"": {""1540"": ""ID, Description\n""}, ""STORAGE_LOCATION_ID"": """", ""STORAGE_LOCATION_INFO"": {}}"
2023-01-25 00:00:00,45732063,37559,System status CLSD is active (ORD IB9022265000 ),5.0,"Error Message:
IDoc ID: 45732063
Pollex ID: 37559
Description: System status CLSD is active (ORD IB9022265000 )","{""RULE_BASE"": """", ""RPA_FIELD_VALUE"": {}, ""RFC_READ_TABLE"": {}, ""CURRENT_DATE"": ""2023-01-25 00:00:00"", ""IDOC_VALUES"": {}, ""MATERIALS_IN_STORAGE_LOCATION"": {}, ""POLLEX_STORAGE_LOCATIONS"": """", ""STORAGE_LOCATIONS_IN_PLANT"": {""1540"": ""ID, Description\n""}, ""STORAGE_LOCATION_ID"": """", ""STORAGE_LOCATION_INFO"": {}}"
2023-01-26 00:00:00,45877560,37596,System status LKD is active (ORD WB4801752230 ),5.0,"Error Message:
IDoc ID: 45877560
Pollex ID: 37596
Description: System status LKD is active (ORD WB4801752230 )","{""RULE_BASE"": """", ""RPA_FIELD_VALUE"": {}, ""RFC_READ_TABLE"": {}, ""CURRENT_DATE"": ""2023-01-26 00:00:00"", ""IDOC_VALUES"": {}, ""MATERIALS_IN_STORAGE_LOCATION"": {}, ""POLLEX_STORAGE_LOCATIONS"": """", ""STORAGE_LOCATIONS_IN_PLANT"": {""1540"": ""ID, Description\n""}, ""STORAGE_LOCATION_ID"": """", ""STORAGE_LOCATION_INFO"": {}}"
2023-01-26 00:00:00,45943945,37604,System status CLSD is active (ORD WW9312251004 ),5.0,"Error Message:
IDoc ID: 45943945
Pollex ID: 37604
Description: System status CLSD is active (ORD WW9312251004 )","{""RULE_BASE"": """", ""RPA_FIELD_VALUE"": {}, ""RFC_READ_TABLE"": {}, ""CURRENT_DATE"": ""2023-01-26 00:00:00"", ""IDOC_VALUES"": {}, ""MATERIALS_IN_STORAGE_LOCATION"": {}, ""POLLEX_STORAGE_LOCATIONS"": """", ""STORAGE_LOCATIONS_IN_PLANT"": {""1540"": ""ID, Description\n""}, ""STORAGE_LOCATION_ID"": """", ""STORAGE_LOCATION_INFO"": {}}"
2023-01-30 10:53:26,46132794,37697,"COMPLETE

From: LLM Agent <llm.agent@company.com>
Date: 2023-01-30 10:53:26
To: Error Handler2 <error.handler2@company.com>
Subject: Error in IDoc 46132794 with Pollex ID 37697

Dear Error Handler2,

Error Message:
IDoc ID: 46132794
Pollex ID: 37697
Description: G/L account 507500 is locked for posting in company code 0015

Please unblock the G/L account with ID 507500 for this period to complete the IDoc above.",7.0,"COMPLETE

From: LLM Agent <llm.agent@company.com>
Date: 2023-01-30 10:53:26
To: Error Handler2 <error.handler2@company.com>
Subject: Error in IDoc 46132794 with Pollex ID 37697

Dear Error Handler2,

Error Message:
IDoc ID: 46132794
Pollex ID: 37697
Description: G/L account 507500 is locked for posting in company code 0015

Please unblock the G/L account with ID 507500 for this period to complete the IDoc above.","{""RULE_BASE"": """", ""RPA_FIELD_VALUE"": {}, ""RFC_READ_TABLE"": {}, ""CURRENT_DATE"": ""2023-01-30 10:53:26"", ""IDOC_VALUES"": {}, ""MATERIALS_IN_STORAGE_LOCATION"": {}, ""POLLEX_STORAGE_LOCATIONS"": """", ""STORAGE_LOCATIONS_IN_PLANT"": {""1540"": ""ID, Description\n""}, ""STORAGE_LOCATION_ID"": """", ""STORAGE_LOCATION_INFO"": {}}"
2023-01-30 14:12:01,46132794,37697,"The G/L account 507500 is now unlocked. I assume your request is completed.

From: LLM Agent <llm.agent@company.com>
Date: 2023-01-30 10:53:26
To: Error Handler2 <error.handler2@company.com>
Subject: Error in IDoc 46132794 with Pollex ID 37697

Dear Error Handler2,

Error Message:
IDoc ID: 46132794
Pollex ID: 37697
Description: G/L account 507500 is locked for posting in company code 0015

Please unblock the G/L account with ID 507500 for this period to complete the IDoc above.",7.0,"The G/L account 507500 is now unlocked. I assume your request is completed.

From: LLM Agent <llm.agent@company.com>
Date: 2023-01-30 10:53:26
To: Error Handler2 <error.handler2@company.com>
Subject: Error in IDoc 46132794 with Pollex ID 37697

Dear Error Handler2,

Error Message:
IDoc ID: 46132794
Pollex ID: 37697
Description: G/L account 507500 is locked for posting in company code 0015

Please unblock the G/L account with ID 507500 for this period to complete the IDoc above.","{""RULE_BASE"": """", ""RPA_FIELD_VALUE"": {}, ""RFC_READ_TABLE"": {}, ""CURRENT_DATE"": ""2023-01-30 14:12:01"", ""IDOC_VALUES"": {}, ""MATERIALS_IN_STORAGE_LOCATION"": {}, ""POLLEX_STORAGE_LOCATIONS"": """", ""STORAGE_LOCATIONS_IN_PLANT"": {""1540"": ""ID, Description\n""}, ""STORAGE_LOCATION_ID"": """", ""STORAGE_LOCATION_INFO"": {}}"
2023-01-31 00:00:00,46132794,37697,G/L account 507500 is locked for posting in company code 0015,3.0,"Error Message:
IDoc ID: 46132794
Pollex ID: 37697
Description: G/L account 507500 is locked for posting in company code 0015","{""RULE_BASE"": """", ""RPA_FIELD_VALUE"": {}, ""RFC_READ_TABLE"": {}, ""CURRENT_DATE"": ""2023-02-01 00:00:00"", ""IDOC_VALUES"": {""46132794"": {""EDI_DC40"": {""CREDAT"": ""2023-01-31 00:00:00""}}}, ""MATERIALS_IN_STORAGE_LOCATION"": {}, ""POLLEX_STORAGE_LOCATIONS"": """", ""STORAGE_LOCATIONS_IN_PLANT"": {""1540"": ""ID, Description\n""}, ""STORAGE_LOCATION_ID"": """", ""STORAGE_LOCATION_INFO"": {}}"
2023-01-31 00:00:00,46142479,37740,Material 22031001 1540 0010 is not available,2.0,"Error Message:
IDoc ID: 46142479
Pollex ID: 37740
Description: Material 22031001 1540 0010 is not available","{""RULE_BASE"": """", ""RPA_FIELD_VALUE"": {}, ""RFC_READ_TABLE"": {}, ""CURRENT_DATE"": ""2023-01-31 00:00:00"", ""IDOC_VALUES"": {""46142479"": {""E1EDL24"": {""LGORT"": ""0010""}}}, ""MATERIALS_IN_STORAGE_LOCATION"": {""0061"": ""Material, Description\n06875, Material 06875\n03613, Material 03613\n07361, Material 07361\n09656, Material 09656\n04559, Material 04559\n"", ""0131"": ""Material, Description\n02549, Material 02549\n03529, Material 03529\n05516, Material 05516\n01676, Material 01676\n01521, Material 01521\n"", ""0156"": ""Material, Description\n04335, Material 04335\n00713, Material 00713\n07529, Material 07529\n08787, Material 08787\n02047, Material 02047\n"", ""0008"": ""Material, Description\n09461, Material 09461\n03152, Material 03152\n01141, Material 01141\n00752, Material 00752\n03735, Material 03735\n"", ""0145"": ""Material, Description\n04556, Material 04556\n07430, Material 07430\n05979, Material 05979\n02666, Material 02666\n06067, Material 06067\n""}, ""POLLEX_STORAGE_LOCATIONS"": ""ID, Description\n0061, Location 0061\n0131, Location 0131\n0156, Location 0156\n0008, Location 0008\n0145, Location 0145\n"", ""STORAGE_LOCATIONS_IN_PLANT"": {""1540"": ""ID, Description\n0061, Location 0061\n0131, Location 0131\n0156, Location 0156\n0008, Location 0008\n0145, Location 0145\n""}, ""STORAGE_LOCATION_ID"": ""0010"", ""STORAGE_LOCATION_INFO"": {""1540"": {""0061"": ""Location 0061:\nMaterial, Description\n06875, Material 06875\n03613, Material 03613\n07361, Material 07361\n09656, Material 09656\n04559, Material 04559\n"", ""0131"": ""Location 0131:\nMaterial, Description\n02549, Material 02549\n03529, Material 03529\n05516, Material 05516\n01676, Material 01676\n01521, Material 01521\n"", ""0156"": ""Location 0156:\nMaterial, Description\n04335, Material 04335\n00713, Material 00713\n07529, Material 07529\n08787, Material 08787\n02047, Material 02047\n"", ""0008"": ""Location 0008:\nMaterial, Description\n09461, Material 09461\n03152, Material 03152\n01141, Material 01141\n00752, Material 00752\n03735, Material 03735\n"", ""0145"": ""Location 0145:\nMaterial, Description\n04556, Material 04556\n07430, Material 07430\n05979, Material 05979\n02666, Material 02666\n06067, Material 06067\n"", ""0010"": ""Location 0010:\nMaterial, Description\n04556, Material 04556\n07430, Material 07430\n05979, Material 05979\n02666, Material 02666\n06067, Material 06067\n""}}}"
2023-02-21 00:00:00,46549354,38185,User status LOIA is active (ORD IB5027869000),6.0,"Error Message:
IDoc ID: 46549354
Pollex ID: 38185
Description: User status LOIA is active (ORD IB5027869000)","{""RULE_BASE"": """", ""RPA_FIELD_VALUE"": {}, ""RFC_READ_TABLE"": {}, ""CURRENT_DATE"": ""2023-02-21 00:00:00"", ""IDOC_VALUES"": {}, ""MATERIALS_IN_STORAGE_LOCATION"": {}, ""POLLEX_STORAGE_LOCATIONS"": """", ""STORAGE_LOCATIONS_IN_PLANT"": {""1540"": ""ID, Description\n""}, ""STORAGE_LOCATION_ID"": """", ""STORAGE_LOCATION_INFO"": {}}"
